term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post24,-0.06639042839647065,0.011783059655478663,-5.634396356942968,1.766581606420458e-8,13646,47816,6719,leins,losat,-0.051289098748649384,-0.08149175804429191
post36,-0.05193732579976854,0.012417851175623029,-4.182472882403726,2.8886882317185277e-5,11908,47816,6719,leins,losat,-0.036022326228784374,-0.06785232537075271
post48,-0.0432783547293663,0.013677305167388519,-3.1642457486842543,0.0015558280326988497,10188,47816,6719,leins,losat,-0.02574904615985527,-0.06080766329887734
pre24,-0.03385893136314763,0.009032337312410163,-3.748634510873112,1.7793554699189126e-4,22494,73769,9684,lemvd,losat,-0.022283185373314855,-0.04543467735298041
pre12,-0.08291128417396133,0.008610409707893375,-9.629191523598989,6.201829793957525e-22,24715,73769,9684,lemvd,losat,-0.07187630517286411,-0.09394626317505855
post03,0.06787839531330514,0.013670837155616341,4.9651966840537565,6.878427172855685e-7,7420,73769,9684,lemvd,losat,0.08539983819835394,0.050356952428256344
post06,0.03159935097630645,0.013741256834282447,2.299596853285694,0.021473849502305204,6939,73769,9684,lemvd,losat,0.04921115707579219,0.01398754487682071
post09,-0.006125513892938219,0.014543384966438455,-0.42118900840993845,0.6736182970810891,6120,73769,9684,lemvd,losat,0.012514596228382486,-0.024765624014258924
post12,0.06655663564289624,0.015147960713033357,4.393768699547173,1.11557442460495e-5,5355,73769,9684,lemvd,losat,0.08597192393585351,0.04714134734993897
post24,-0.011932307988508162,0.008793959865573768,-1.3568754202779876,0.1748249499007824,25049,73769,9684,lemvd,losat,-6.620977248125593e-4,-0.023202518252203763
post36,-0.005278294047085388,0.009354234043097256,-0.5642679050756042,0.5725735359797186,22321,73769,9684,lemvd,losat,0.006709994046755217,-0.017266582140925992
post48,0.0024282494303718787,0.010238064524396968,0.2371785628607283,0.8125189248637962,19675,73769,9684,lemvd,losat,0.015549297615305921,-0.010692798754562163
pre24,-0.01492725207738349,0.019292362084793072,-0.7737389549177953,0.43909423071559606,4942,20206,3084,lesep,losat,0.009800210735832211,-0.03965471489059919
pre12,-0.0687841838367479,0.01893219472675224,-3.6331859475094053,2.8063651501804754e-4,5277,20206,3084,lesep,losat,-0.04451856180507363,-0.09304980586842218
post03,-0.3389394227360061,0.034052426184817526,-9.953458848906461,2.755779100922716e-23,1377,20206,3084,lesep,losat,-0.29527852160320156,-0.3826003238688106
post06,-0.25260630695680747,0.03575569477458427,-7.064785303413099,1.6609440200273857e-12,1096,20206,3084,lesep,losat,-0.2067558792674407,-0.2984567346461742
post09,-0.2683084189816914,0.039366008633970946,-6.815738457928252,9.642414995298905e-12,965,20206,3084,lesep,losat,-0.21782425356522148,-0.31879258439816127
post12,-0.16125769894151679,0.029477122177903825,-5.47060523643642,4.538253725960929e-8,1694,20206,3084,lesep,losat,-0.12346650095695758,-0.199048896926076
post24,-0.11087981487040299,0.02084488342156737,-5.319282081265087,1.0528621268674615e-7,5244,20206,3084,lesep,losat,-0.08416265564134238,-0.13759697409946361
post36,-0.0450019389977572,0.021730380649555604,-2.070922719831763,0.03837868473345033,4646,20206,3084,lesep,losat,-0.017149374562734052,-0.07285450343278035
post48,-0.06463433492322597,0.02370489761632747,-2.7266236694777835,0.006404115119451882,4061,20206,3084,lesep,losat,-0.03425034254317176,-0.09501832730328018
pre24,0.00946956642458746,0.03988982538995363,0.237393027721109,0.8123614843930713,1184,5073,911,ledsc,losat,0.06061899705030316,-0.041679864201128236
pre12,-0.04406199605472955,0.04200459004591173,-1.0489805044298504,0.294237061843413,1226,5073,911,ledsc,losat,0.009798097000179404,-0.09792208910963851
post03,-0.14565407986828266,0.077830680047854775,-1.8714224233775956,0.06134406201476634,282,5073,911,ledsc,losat,-0.04567500143966023,-0.24563315829690507
post06,-0.24017963036250323,0.08078262699890397,-2.973159443871043,0.002961375327112159,243,5073,911,ledsc,losat,-0.136369138722731,-0.34399012200227547
post09,-0.2257970193635678,0.08852968837340895,-2.5505231466666825,0.010785262755063809,186,5073,911,ledsc,losat,-0.11193505458585622,-0.3396589841412794
post12,-0.17867306111255493,0.07028066266779211,-2.5422791181853266,0.011042698826970026,354,5073,911,ledsc,losat,-0.08843589434169608,-0.2689102278834138
post24,0.025528659005249917,0.04790947488207795,0.5328519894673217,0.5941593814843347,1209,5073,911,ledsc,losat,0.08696071598332265,-0.03590339797282281
post36,-0.007636764989557459,0.055531429726520094,-0.1375214905714984,0.8906240647446064,1059,5073,911,ledsc,losat,0.06357408888897674,-0.07884761886809165
post48,0.028316240007774402,0.06636352637378715,0.42668377578800576,0.6696277748912208,918,5073,911,ledsc,losat,0.11342583376230855,-0.056793353746759756
pre24,0.06433186908184536,0.024835527762925518,2.590316167062896,0.009595689164204184,4999,20139,3063,lebth,losat,0.09616408589379011,0.03249965226990061
pre12,0.17954796497298697,0.02639054763768871,6.8034952301092835,1.0497819891596612e-11,5402,20139,3063,lebth,losat,0.2133729497410977,0.14572298020487626
post03,0.20485608773074812,0.03538926754182182,5.788650117967439,7.200823057648634e-9,1584,20139,3063,lebth,losat,0.2502281931161874,0.15948398234530886
post06,0.1492372766926367,0.03878264321553285,3.8480429470280573,1.1943247607575982e-4,1313,20139,3063,lebth,losat,0.19896427168448952,0.09951028170078388
post09,0.12407994723329234,0.03999332855135632,3.1025161377592894,0.0019214848716182687,1228,20139,3063,lebth,losat,0.17536106914289404,0.07279882532369064
post12,0.10513609379677409,0.03722193659893047,2.8245734479004794,0.004739011626248573,1341,20139,3063,lebth,losat,0.1528614528191074,0.05741073477444079
post24,0.0019724457439846636,0.02844781206329007,0.06933558684922445,0.9447231880663793,5378,20139,3063,lebth,losat,0.03843426337343578,-0.034489371885466455
post36,-0.05920634255044414,0.030150965551545783,-1.963663234904553,0.04958289548696514,4835,20139,3063,lebth,losat,-0.020561044330309045,-0.09785164077057923
